delta18O,D
-2.92,-12.75647822341851
-3.74,-19.093162456519615
-5.03,-29.061848628105494
-6.97,-44.05351620397883
-4.93,-28.28908225821511
-6.09,-37.2531721489435
-4.16,-22.338781210059203
-3.9,-20.329588648344213
-3.65,-18.39767272361827
-4.11,-21.952398025114015
-2.89,-12.524648312451399
-3.49,-17.161246531793665
-4.23,-22.879717668982472
-2.94,-12.911031497396584
-4.36,-23.884313949839964
-7.25,-46.21726203967189
-3.18,-14.765670785133496
-4.73,-26.743549518434364
-3.18,-14.765670785133496
-5.73,-34.471213217338146
-4.1,-21.875121388124974
-0.52,5.789914653950568
-3.49,-17.161246531793665
-7.28,-46.44909195063901
-2.03,-5.878857531394143
-6.18,-37.94866188184484
-5.16,-30.066444908962985
-5.2,-30.37555145691914
-4.56,-25.42984668962071
-6.24,-38.41232170377907
-2.15,-6.8061771752625955
-4.6,-25.738953237576865
-4.11,-21.952398025114015
-5.29,-31.071041189820477
-1.01,2.0033594414877145
-2.14,-6.728900538273562
-4.5,-24.96618686768649
-5.27,-30.916487915842396
-5.65,-33.85300012142584
-6.47,-40.18968435452694
-6.78,-42.58526010118712
-6.04,-36.86678896399832
-4.16,-22.338781210059203
-5.24,-30.68465800487529
-2.16,-6.883453812251636
-1.26,0.07144351676176797
-1.85,-4.487878065591463
-3.29,-15.61571379201291
-3.58,-17.85673626469501
-5.8,-35.0121496762614
-4.13,-22.10695129909209
-5.02,-28.984571991116454
-5.23,-30.607381367886255
-3.74,-19.093162456519615
-3.48,-17.083969894804625
-4.35,-23.807037312850916
-7.13,-45.289942395803436
-3.28,-15.53843715502387
-4.29,-23.343377490916694
-3.29,-15.61571379201291
-4.05,-21.488738203179786
-7.7,-49.6947107041786
-6.64,-41.50338718334058
-6.69,-41.889770368285774
-4.03,-21.33418492920171
-5.74,-34.54848985432718
-3.61,-18.088566175662116
-3.34,-16.0020969769581
-2.87,-12.370095038473321
